          TABLE NR. 1.1.1.2                    DLR-F4 WING/BODY

                     M =      0.750           RE = 3*10E6

                ALFA      CL        CD        CM        CN        CT

              -2.746     0.170     0.020    -0.144     0.168     0.028
              -2.458     0.200     0.020    -0.143     0.199     0.029
              -2.167     0.233     0.021    -0.142     0.232     0.029
              -1.876     0.266     0.021    -0.141     0.265     0.030
              -1.584     0.299     0.022    -0.139     0.298     0.030
              -1.293     0.331     0.023    -0.138     0.331     0.030
              -1.002     0.364     0.024    -0.136     0.364     0.030
              -0.711     0.396     0.025    -0.135     0.396     0.030
              -0.418     0.431     0.026    -0.133     0.431     0.029
              -0.124     0.466     0.027    -0.132     0.466     0.028
               0.169     0.502     0.029    -0.130     0.502     0.027
               0.467     0.541     0.031    -0.129     0.542     0.026
               0.775     0.583     0.033    -0.129     0.583     0.025
               1.073     0.624     0.036    -0.130     0.625     0.024
               1.368     0.663     0.039    -0.130     0.664     0.024
               1.663     0.702     0.043    -0.129     0.703     0.023
               1.955     0.736     0.047    -0.128     0.737     0.022
               2.241     0.759     0.052    -0.122     0.760     0.022
               2.516     0.762     0.057    -0.109     0.764     0.023
               2.786     0.764     0.061    -0.100     0.766     0.024
               3.056     0.771     0.065    -0.096     0.774     0.024
               3.329     0.783     0.069    -0.092     0.785     0.024
               3.604     0.797     0.074    -0.087     0.800     0.024
               3.878     0.803     0.080    -0.081     0.806     0.026
               4.152     0.809     0.086    -0.076     0.813     0.027
               4.424     0.819     0.091    -0.072     0.823     0.028
               4.686     0.822     0.096    -0.072     0.827     0.029
               4.942     0.822     0.100    -0.072     0.828     0.029
1
          TABLE NR. 1.1.2.2                    DLR-F4 BODY ALONE

                     M =      0.750           RE = 3*10E6

                ALFA      CL        CD        CM        CN        CT

              -2.841    -0.004     0.009    -0.067    -0.005     0.009
              -2.323    -0.004     0.009    -0.060    -0.004     0.009
              -1.804    -0.003     0.009    -0.051    -0.003     0.009
              -1.285    -0.002     0.009    -0.043    -0.002     0.009
              -0.766    -0.001     0.009    -0.034    -0.002     0.009
              -0.247    -0.001     0.009    -0.025    -0.001     0.009
               0.272     0.000     0.009    -0.016     0.000     0.009
               0.792     0.000     0.009    -0.007     0.000     0.009
               1.311     0.001     0.009     0.003     0.001     0.009
               1.830     0.001     0.009     0.012     0.002     0.009
               2.350     0.002     0.009     0.022     0.002     0.009
               2.869     0.002     0.009     0.032     0.003     0.009
1
          TABLE NR. 1.2.1.2                    DLR-F4 WING/BODY

                     M =      0.750           RE = 3*10E6

                ALFA      CL        CD        CM        CN        CT

              -4.400    -0.033     0.020    -0.143    -0.034     0.017
              -4.200    -0.010     0.019    -0.143    -0.011     0.019
              -4.000     0.013     0.019    -0.142     0.012     0.020
              -3.800     0.037     0.019    -0.142     0.035     0.022
              -3.600     0.060     0.019    -0.141     0.059     0.023
              -3.400     0.084     0.019    -0.140     0.082     0.024
              -3.200     0.107     0.019    -0.140     0.106     0.025
              -3.000     0.130     0.020    -0.139     0.128     0.026
              -2.800     0.152     0.020    -0.139     0.151     0.027
              -2.600     0.174     0.020    -0.138     0.173     0.028
              -2.400     0.196     0.020    -0.137     0.195     0.029
              -2.200     0.219     0.021    -0.136     0.218     0.029
              -2.000     0.241     0.021    -0.136     0.241     0.030
              -1.800     0.264     0.022    -0.135     0.263     0.030
              -1.600     0.287     0.022    -0.134     0.286     0.030
              -1.400     0.310     0.023    -0.133     0.309     0.030
