          TABLE NR. 1.1.1.2                    DLR-F4 WING/BODY

                     M =      0.750           RE = 3*10E6
              -1.200     0.333     0.023    -0.132     0.332     0.030
              -1.000     0.356     0.024    -0.131     0.356     0.030
              -0.800     0.380     0.024    -0.130     0.379     0.030
              -0.600     0.404     0.025    -0.129     0.403     0.029
              -0.400     0.428     0.026    -0.128     0.427     0.029
              -0.200     0.451     0.027    -0.127     0.451     0.028
               0.000     0.476     0.028    -0.127     0.476     0.028
               0.200     0.501     0.029    -0.126     0.501     0.027
               0.400     0.527     0.030    -0.126     0.527     0.026
               0.600     0.554     0.031    -0.125     0.554     0.026
               0.800     0.581     0.033    -0.125     0.582     0.025
               1.000     0.609     0.035    -0.126     0.610     0.024
               1.200     0.637     0.037    -0.126     0.638     0.024
               1.400     0.665     0.039    -0.127     0.666     0.023
               1.600     0.691     0.042    -0.127     0.692     0.023
               1.800     0.715     0.045    -0.126     0.716     0.022
               2.000     0.734     0.048    -0.123     0.736     0.022
               2.200     0.749     0.051    -0.119     0.751     0.022
               2.400     0.759     0.054    -0.113     0.760     0.022
               2.600     0.764     0.057    -0.107     0.766     0.022
               2.800     0.767     0.060    -0.102     0.769     0.023
               3.000     0.770     0.063    -0.097     0.772     0.023
               3.200     0.774     0.067    -0.093     0.777     0.023
               3.400     0.780     0.070    -0.090     0.783     0.024
               3.600     0.788     0.074    -0.086     0.791     0.024
               3.800     0.795     0.077    -0.083     0.798     0.024
               4.000     0.802     0.081    -0.080     0.806     0.025
               4.200     0.809     0.085    -0.077     0.813     0.025
               4.400     0.814     0.089    -0.074     0.818     0.026
               4.600     0.817     0.093    -0.073     0.822     0.027
               4.800     0.819     0.097    -0.071     0.825     0.028
               5.000     0.820     0.101    -0.070     0.825     0.029
               5.200     0.820     0.105    -0.068     0.826     0.030
               5.400     0.819     0.109    -0.067     0.826     0.031
               5.600     0.820     0.113    -0.065     0.827     0.033
               5.800     0.820     0.117    -0.064     0.828     0.034
               6.000     0.821     0.121    -0.062     0.829     0.035
               6.200     0.822     0.126    -0.060     0.831     0.036
               6.400     0.823     0.130    -0.058     0.832     0.037
               6.600     0.825     0.134    -0.056     0.835     0.038
               6.800     0.827     0.138    -0.054     0.838     0.039
               7.000     0.831     0.142    -0.051     0.842     0.040
               7.200     0.834     0.146    -0.048     0.846     0.040
               7.400     0.838     0.150    -0.045     0.851     0.041
               7.600     0.843     0.155    -0.042     0.856     0.042
               7.800     0.849     0.159    -0.039     0.862     0.043
               8.000     0.855     0.164    -0.035     0.869     0.043
               8.200     0.861     0.168    -0.032     0.876     0.044
               8.400     0.865     0.173    -0.030     0.881     0.045
               8.600     0.868     0.177    -0.028     0.884     0.045
               8.800     0.869     0.181    -0.026     0.886     0.046
               9.000     0.869     0.184    -0.024     0.887     0.046
               9.200     0.870     0.188    -0.021     0.888     0.047
               9.400     0.872     0.192    -0.019     0.891     0.047
               9.600     0.874     0.196    -0.016     0.894     0.047
               9.800     0.876     0.200    -0.013     0.898     0.048
1
          TABLE NR. 1.2.2.2                    DLR-F4 BODY ALONE

                     M =      0.750           RE = 3*10E6

                ALFA      CL        CD        CM        CN        CT

              -4.200    -0.010     0.010    -0.088    -0.011     0.009
              -4.000    -0.009     0.010    -0.085    -0.010     0.009
              -3.800    -0.009     0.010    -0.083    -0.009     0.009
              -3.600    -0.008     0.010    -0.080    -0.009     0.009
              -3.400    -0.008     0.010    -0.077    -0.008     0.009
              -3.200    -0.007     0.010    -0.074    -0.008     0.009
              -3.000    -0.007     0.009    -0.071    -0.007     0.009
              -2.800    -0.006     0.009    -0.068    -0.007     0.009
              -2.600    -0.006     0.009    -0.064    -0.006     0.009
              -2.400    -0.006     0.009    -0.061    -0.006     0.009
              -2.200    -0.005     0.009    -0.058    -0.006     0.009
              -2.000    -0.005     0.009    -0.055    -0.005     0.009
              -1.800    -0.005     0.009    -0.052    -0.005     0.009
              -1.600    -0.005     0.009    -0.049    -0.005     0.009
              -1.400    -0.004     0.009    -0.045    -0.004     0.009
              -1.200    -0.004     0.009    -0.042    -0.004     0.009
              -1.000    -0.003     0.009    -0.038    -0.003     0.009
              -0.800    -0.003     0.009    -0.035    -0.003     0.009
              -0.600    -0.003     0.009    -0.031    -0.003     0.009
              -0.400    -0.002     0.009    -0.028    -0.003     0.009
              -0.200    -0.002     0.009    -0.025    -0.002     0.009
               0.000    -0.002     0.009    -0.021    -0.002     0.009
               0.200    -0.001     0.009    -0.017    -0.001     0.009
               0.400    -0.001     0.009    -0.014    -0.001     0.009
               0.600    -0.001     0.009    -0.010    -0.001     0.009
               0.800    -0.001     0.009    -0.006     0.000     0.009
               1.000    -0.001     0.009    -0.003     0.000     0.009
               1.200    -0.001     0.009     0.001     0.000     0.009
               1.400     0.000     0.009     0.004     0.000     0.009
               1.600     0.000     0.009     0.008     0.000     0.009
               1.800     0.000     0.009     0.011     0.001     0.009
               2.000     0.001     0.009     0.015     0.001     0.009
               2.200     0.001     0.009     0.019     0.001     0.009
               2.400     0.001     0.009     0.022     0.002     0.009
               2.600     0.001     0.009     0.026     0.002     0.009
               2.800     0.002     0.009     0.030     0.002     0.009
               3.000     0.002     0.009     0.034     0.002     0.009
               3.200     0.002     0.009     0.037     0.002     0.009
               3.400     0.002     0.009     0.041     0.003     0.009
               3.600     0.003     0.010     0.045     0.003     0.009
               3.800     0.003     0.010     0.049     0.004     0.009
               4.000     0.003     0.010     0.053     0.004     0.009
               4.200     0.004     0.010     0.056     0.004     0.009
               4.400     0.004     0.010     0.060     0.004     0.009
               4.600     0.004     0.010     0.063     0.005     0.009
               4.800     0.004     0.010     0.067     0.005     0.009
               5.000     0.005     0.010     0.071     0.005     0.009
               5.200     0.005     0.010     0.074     0.006     0.009
               5.400     0.005     0.010     0.077     0.006     0.009
               5.600     0.006     0.010     0.081     0.007     0.010
               5.800     0.006     0.010     0.084     0.007     0.010
               6.000     0.006     0.010     0.087     0.007     0.010
               6.200     0.007     0.010     0.090     0.008     0.010
               6.400     0.007     0.010     0.094     0.008     0.010
               6.600     0.008     0.011     0.097     0.009     0.010
               6.800     0.008     0.011     0.100     0.009     0.010
               7.000     0.009     0.011     0.103     0.010     0.010
               7.200     0.009     0.011     0.106     0.011     0.010
               7.400     0.010     0.011     0.109     0.011     0.010
               7.600     0.010     0.011     0.111     0.012     0.010
               7.800     0.011     0.011     0.114     0.012     0.010
               8.000     0.012     0.011     0.117     0.013     0.010
               8.200     0.012     0.012     0.119     0.014     0.010
               8.400     0.013     0.012     0.122     0.015     0.010
               8.600     0.014     0.012     0.124     0.015     0.010
               8.800     0.015     0.012     0.127     0.016     0.010
               9.000     0.015     0.012     0.129     0.017     0.010
               9.200     0.015     0.012     0.131     0.017     0.010
1
          TABLE NR. 1.3.1.2                    DLR-F4 WING/BODY

                     M =      0.750           RE = 3*10E6

                ALFA      CL        CD        CM        CN        CT

              -3.615     0.053     0.019    -0.154     0.052     0.022
              -3.260     0.095     0.019    -0.154     0.094     0.024
              -2.892     0.138     0.019    -0.152     0.137     0.026
              -2.526     0.181     0.020    -0.151     0.180     0.028
              -2.293     0.208     0.020    -0.150     0.207     0.028
              -2.036     0.237     0.021    -0.149     0.236     0.029
              -1.793     0.265     0.021    -0.149     0.264     0.029
              -1.536     0.295     0.022    -0.147     0.294     0.030
              -1.305     0.320     0.022    -0.146     0.319     0.030
              -1.048     0.349     0.023    -0.144     0.349     0.029
              -0.814     0.377     0.024    -0.142     0.376     0.029
              -0.556     0.407     0.025    -0.141     0.406     0.029
              -0.306     0.438     0.026    -0.140     0.438     0.028
              -0.033     0.472     0.027    -0.138     0.472     0.027
               0.194     0.502     0.028    -0.137     0.502     0.026
               0.449     0.537     0.030    -0.136     0.537     0.026
               0.706     0.574     0.032    -0.136     0.574     0.025
               0.950     0.609     0.034    -0.136     0.609     0.024
               1.215     0.644     0.037    -0.136     0.645     0.023
               1.469     0.679     0.040    -0.136     0.680     0.023
               1.726     0.709     0.044    -0.134     0.710     0.022
               1.952     0.729     0.047    -0.130     0.730     0.022
               2.175     0.739     0.051    -0.123     0.740     0.023
               2.380     0.743     0.054    -0.115     0.745     0.023
1
          TABLE NR. 1.3.2.2                    DLR-F4 BODY ALONE

                     M =      0.750           RE = 3*10E6

                ALFA      CL        CD        CM        CN        CT

              -4.136    -0.012     0.009    -0.092    -0.012     0.008
              -3.117    -0.009     0.009    -0.078    -0.009     0.008
              -2.098    -0.006     0.009    -0.062    -0.007     0.008
              -1.080    -0.004     0.009    -0.046    -0.005     0.008
              -0.050    -0.003     0.008    -0.029    -0.003     0.008
               0.970    -0.001     0.008    -0.011    -0.001     0.008
               1.990     0.000     0.008     0.007     0.000     0.008
               3.010     0.001     0.008     0.026     0.001     0.008
               4.030     0.002     0.008     0.044     0.003     0.008
