          TABLE NR. 1.1.1.1                    DLR-F4 WING/BODY

                     M =      0.600           RE = 3*10E6

                ALFA      CL        CD        CM        CN        CT

              -2.746     0.178     0.019    -0.140     0.177     0.028
              -2.465     0.203     0.020    -0.138     0.203     0.028
              -2.183     0.231     0.020    -0.136     0.230     0.029
              -1.900     0.259     0.021    -0.135     0.259     0.029
              -1.617     0.288     0.021    -0.133     0.287     0.029
              -1.334     0.316     0.022    -0.132     0.316     0.029
              -1.053     0.342     0.023    -0.130     0.342     0.029
              -0.771     0.370     0.023    -0.128     0.370     0.028
              -0.488     0.396     0.024    -0.126     0.396     0.028
              -0.205     0.424     0.025    -0.124     0.424     0.027
               0.077     0.451     0.026    -0.121     0.451     0.025
               0.360     0.478     0.027    -0.119     0.478     0.024
               0.641     0.504     0.028    -0.117     0.504     0.022
               0.922     0.529     0.029    -0.115     0.530     0.021
               1.204     0.555     0.031    -0.112     0.556     0.019
               1.486     0.581     0.032    -0.109     0.581     0.017
               1.768     0.605     0.033    -0.106     0.606     0.015
               2.050     0.631     0.035    -0.103     0.631     0.012
               2.331     0.655     0.037    -0.101     0.656     0.010
               2.613     0.681     0.039    -0.098     0.682     0.007
               2.894     0.705     0.041    -0.095     0.707     0.005
               3.175     0.732     0.043    -0.092     0.733     0.003
               3.460     0.757     0.046    -0.089     0.758     0.000
               3.741     0.780     0.049    -0.086     0.782    -0.002
               4.020     0.801     0.053    -0.081     0.803    -0.003
               4.297     0.819     0.056    -0.076     0.821    -0.005
               4.572     0.835     0.060    -0.072     0.837    -0.006
               4.847     0.849     0.065    -0.066     0.851    -0.007
               5.118     0.859     0.069    -0.061     0.862    -0.007
               5.384     0.863     0.075    -0.057     0.866    -0.006
               5.651     0.866     0.081    -0.053     0.870    -0.005
               5.917     0.869     0.087    -0.050     0.873    -0.003
               6.183     0.872     0.094    -0.046     0.877    -0.001
               6.449     0.876     0.101    -0.043     0.881     0.002
               6.711     0.876     0.107    -0.041     0.882     0.004
               6.957     0.861     0.116    -0.049     0.868     0.010
               7.221     0.861     0.122    -0.045     0.869     0.013
1
          TABLE NR. 1.1.2.1                    DLR-F4 BODY ALONE

                     M =      0.600           RE = 3*10E6

                ALFA      CL        CD        CM        CN        CT

              -2.833    -0.004     0.009    -0.066    -0.004     0.009
              -2.316    -0.003     0.009    -0.059    -0.004     0.009
              -1.798    -0.002     0.009    -0.050    -0.003     0.009
              -1.280    -0.002     0.009    -0.042    -0.002     0.009
              -0.762    -0.001     0.009    -0.033    -0.001     0.009
              -0.244    -0.001     0.009    -0.024    -0.001     0.009
               0.274     0.000     0.009    -0.015     0.000     0.009
               0.792     0.000     0.009    -0.006     0.001     0.009
               1.310     0.001     0.009     0.003     0.001     0.009
               1.829     0.001     0.009     0.013     0.001     0.009
               2.347     0.002     0.009     0.022     0.002     0.009
               2.865     0.002     0.009     0.032     0.003     0.009
               3.384     0.003     0.010     0.041     0.003     0.009
1
          TABLE NR. 1.2.1.1                    DLR-F4 WING/BODY

                     M =      0.600           RE = 3*10E6

                ALFA      CL        CD        CM        CN        CT

              -4.200     0.023     0.018    -0.145     0.022     0.020
              -4.000     0.043     0.018    -0.144     0.042     0.021
              -3.800     0.064     0.018    -0.142     0.062     0.022
              -3.600     0.084     0.018    -0.141     0.083     0.024
              -3.400     0.105     0.018    -0.140     0.104     0.025
              -3.200     0.126     0.019    -0.139     0.125     0.026
