          TABLE NR. 1.1.1.1                    DLR-F4 WING/BODY

                     M =      0.600           RE = 3*10E6
              -3.000     0.147     0.019    -0.138     0.145     0.026
              -2.800     0.167     0.019    -0.137     0.166     0.027
              -2.600     0.187     0.019    -0.135     0.186     0.028
              -2.400     0.208     0.019    -0.134     0.207     0.028
              -2.200     0.228     0.020    -0.133     0.227     0.029
              -2.000     0.248     0.020    -0.132     0.247     0.029
              -1.800     0.268     0.021    -0.131     0.267     0.029
              -1.600     0.287     0.021    -0.130     0.287     0.029
              -1.400     0.306     0.021    -0.128     0.306     0.029
              -1.200     0.325     0.022    -0.127     0.325     0.029
              -1.000     0.344     0.022    -0.126     0.344     0.028
              -0.800     0.363     0.023    -0.124     0.363     0.028
              -0.600     0.383     0.023    -0.123     0.382     0.027
              -0.400     0.402     0.024    -0.121     0.402     0.027
              -0.200     0.421     0.025    -0.120     0.421     0.026
               0.000     0.441     0.025    -0.118     0.441     0.025
               0.200     0.460     0.026    -0.117     0.460     0.024
               0.400     0.479     0.027    -0.115     0.479     0.023
               0.600     0.498     0.027    -0.114     0.498     0.022
               0.800     0.516     0.028    -0.113     0.516     0.021
               1.000     0.534     0.029    -0.111     0.535     0.020
               1.200     0.552     0.030    -0.109     0.553     0.018
               1.400     0.571     0.031    -0.107     0.571     0.017
               1.600     0.588     0.032    -0.105     0.589     0.015
               1.800     0.605     0.033    -0.103     0.606     0.014
               2.000     0.622     0.034    -0.101     0.623     0.012
               2.200     0.639     0.035    -0.099     0.640     0.011
               2.400     0.657     0.037    -0.096     0.658     0.009
               2.600     0.675     0.038    -0.094     0.676     0.007
               2.800     0.694     0.039    -0.092     0.695     0.005
               3.000     0.713     0.041    -0.090     0.714     0.004
               3.200     0.732     0.043    -0.088     0.733     0.002
               3.400     0.750     0.045    -0.086     0.752     0.000
               3.600     0.768     0.047    -0.084     0.770    -0.002
               3.800     0.785     0.049    -0.082     0.787    -0.003
               4.000     0.801     0.051    -0.080     0.803    -0.005
               4.200     0.816     0.054    -0.077     0.818    -0.006
               4.400     0.829     0.057    -0.073     0.831    -0.007
               4.600     0.842     0.059    -0.069     0.844    -0.008
               4.800     0.853     0.062    -0.065     0.855    -0.009
               5.000     0.863     0.066    -0.061     0.866    -0.010
               5.200     0.872     0.069    -0.057     0.875    -0.010
               5.400     0.881     0.072    -0.053     0.883    -0.011
               5.600     0.888     0.076    -0.049     0.891    -0.011
               5.800     0.895     0.080    -0.046     0.898    -0.011
               6.000     0.902     0.083    -0.042     0.906    -0.011
               6.200     0.908     0.087    -0.039     0.912    -0.011
               6.400     0.914     0.092    -0.035     0.919    -0.011
               6.600     0.920     0.096    -0.032     0.925    -0.010
               6.800     0.924     0.100    -0.029     0.930    -0.010
               7.000     0.928     0.105    -0.027     0.934    -0.009
               7.200     0.930     0.110    -0.025     0.936    -0.008
               7.400     0.932     0.115    -0.023     0.939    -0.006
               7.600     0.932     0.120    -0.022     0.940    -0.005
               7.800     0.933     0.125    -0.021     0.941    -0.003
               8.000     0.933     0.129    -0.020     0.942    -0.002
               8.200     0.934     0.134    -0.019     0.943     0.000
               8.400     0.935     0.139    -0.017     0.945     0.001
               8.600     0.936     0.144    -0.015     0.947     0.002
               8.800     0.939     0.149    -0.013     0.951     0.003
               9.000     0.943     0.154    -0.010     0.956     0.004
               9.200     0.947     0.159    -0.007     0.960     0.005
               9.400     0.950     0.164    -0.004     0.963     0.006
               9.600     0.952     0.169    -0.001     0.966     0.008
1
          TABLE NR. 1.2.2.1                    DLR-F4 BODY ALONE

                     M =      0.600           RE = 3*10E6

                ALFA      CL        CD        CM        CN        CT

              -3.800    -0.006     0.010    -0.081    -0.007     0.009
              -3.600    -0.006     0.010    -0.078    -0.006     0.009
              -3.400    -0.005     0.010    -0.075    -0.006     0.009
              -3.200    -0.005     0.009    -0.072    -0.006     0.009
              -3.000    -0.005     0.009    -0.069    -0.005     0.009
              -2.800    -0.004     0.009    -0.066    -0.005     0.009
              -2.600    -0.004     0.009    -0.063    -0.004     0.009
              -2.400    -0.003     0.009    -0.060    -0.004     0.009
              -2.200    -0.003     0.009    -0.057    -0.003     0.009
              -2.000    -0.003     0.009    -0.053    -0.003     0.009
              -1.800    -0.003     0.009    -0.050    -0.003     0.009
              -1.600    -0.002     0.009    -0.046    -0.003     0.009
              -1.400    -0.002     0.009    -0.043    -0.002     0.009
              -1.200    -0.001     0.009    -0.040    -0.002     0.009
              -1.000    -0.001     0.009    -0.036    -0.001     0.009
              -0.800    -0.001     0.009    -0.033    -0.001     0.009
               0.200     0.000     0.009    -0.016     0.000     0.009
               0.400     0.001     0.009    -0.012     0.001     0.009
               0.600     0.001     0.009    -0.009     0.001     0.009
               0.800     0.001     0.009    -0.005     0.001     0.009
               1.000     0.001     0.009    -0.002     0.002     0.009
               1.200     0.002     0.009     0.002     0.002     0.009
               1.400     0.002     0.009     0.005     0.002     0.009
               1.600     0.002     0.009     0.009     0.002     0.009
               1.800     0.002     0.009     0.013     0.003     0.009
               2.000     0.003     0.009     0.016     0.003     0.009
               2.200     0.003     0.009     0.020     0.003     0.009
               2.400     0.003     0.009     0.024     0.003     0.009
               2.600     0.003     0.010     0.028     0.004     0.009
               2.800     0.004     0.010     0.031     0.004     0.009
               3.000     0.004     0.010     0.035     0.005     0.009
               3.200     0.004     0.010     0.039     0.005     0.009
               3.400     0.005     0.010     0.042     0.005     0.009
               3.600     0.005     0.010     0.046     0.005     0.009
               3.800     0.005     0.010     0.049     0.005     0.009
               4.000     0.005     0.010     0.052     0.006     0.010
               4.200     0.005     0.010     0.056     0.006     0.010
               4.400     0.005     0.010     0.059     0.006     0.010
               4.600     0.005     0.010     0.063     0.006     0.010
               4.800     0.005     0.010     0.067     0.006     0.010
               5.000     0.006     0.010     0.070     0.007     0.010
               5.200     0.006     0.010     0.074     0.007     0.010
               5.400     0.006     0.010     0.078     0.007     0.010
               5.600     0.007     0.010     0.081     0.008     0.010
               5.800     0.007     0.010     0.085     0.008     0.010
               6.000     0.007     0.010     0.087     0.008     0.010
               6.200     0.008     0.011     0.090     0.009     0.010
               6.400     0.008     0.011     0.093     0.009     0.010
               6.600     0.009     0.011     0.096     0.010     0.010
               6.800     0.009     0.011     0.099     0.011     0.010
               7.000     0.010     0.011     0.102     0.011     0.010
               7.200     0.010     0.011     0.105     0.012     0.010
               7.400     0.011     0.011     0.108     0.012     0.010
               7.600     0.011     0.011     0.110     0.013     0.010
               7.800     0.012     0.011     0.113     0.013     0.010
               8.000     0.012     0.012     0.115     0.014     0.010
               8.200     0.013     0.012     0.118     0.015     0.010
               8.400     0.014     0.012     0.120     0.015     0.010
               8.600     0.014     0.012     0.123     0.016     0.010
               8.800     0.015     0.012     0.125     0.017     0.010
               9.000     0.016     0.012     0.128     0.018     0.010
               9.200     0.017     0.012     0.130     0.018     0.010
1
          TABLE NR. 1.3.1.1                    DLR-F4 WING/BODY

                     M =      0.600           RE = 3*10E6

                ALFA      CL        CD        CM        CN        CT

              -3.579     0.081     0.018    -0.153     0.080     0.023
              -3.115     0.128     0.018    -0.151     0.127     0.025
              -2.779     0.162     0.019    -0.149     0.161     0.027
              -2.534     0.187     0.019    -0.148     0.186     0.027
              -2.303     0.210     0.019    -0.146     0.209     0.028
              -2.059     0.235     0.020    -0.145     0.234     0.028
              -1.828     0.257     0.020    -0.143     0.256     0.028
              -1.547     0.286     0.020    -0.141     0.286     0.028
              -1.375     0.303     0.021    -0.141     0.302     0.028
              -1.097     0.330     0.021    -0.139     0.329     0.028
              -0.912     0.348     0.022    -0.137     0.347     0.027
              -0.668     0.372     0.023    -0.135     0.372     0.027
              -0.449     0.393     0.023    -0.133     0.393     0.026
              -0.217     0.415     0.024    -0.131     0.415     0.026
               0.014     0.437     0.025    -0.129     0.437     0.025
               0.245     0.459     0.026    -0.127     0.459     0.024
               0.476     0.481     0.026    -0.125     0.482     0.022
               0.719     0.504     0.027    -0.122     0.505     0.021
               0.948     0.525     0.028    -0.120     0.525     0.020
               1.180     0.547     0.029    -0.117     0.547     0.018
               1.422     0.569     0.030    -0.114     0.570     0.016
               1.672     0.590     0.031    -0.111     0.591     0.014
               1.868     0.608     0.032    -0.108     0.608     0.013
               2.098     0.628     0.034    -0.105     0.629     0.011
               2.351     0.651     0.035    -0.101     0.651     0.009
               2.559     0.669     0.037    -0.098     0.670     0.007
               2.790     0.691     0.038    -0.095     0.692     0.005
               3.045     0.715     0.040    -0.091     0.716     0.002
               3.264     0.735     0.042    -0.088     0.736     0.000
               3.472     0.755     0.044    -0.085     0.756    -0.001
               3.735     0.777     0.047    -0.081     0.778    -0.004
               3.927     0.791     0.049    -0.079     0.793    -0.005
               4.164     0.809     0.052    -0.074     0.811    -0.006
               4.385     0.822     0.055    -0.070     0.824    -0.008
               4.604     0.833     0.058    -0.066     0.835    -0.009
               4.832     0.843     0.062    -0.061     0.845    -0.009
               5.040     0.854     0.065    -0.056     0.857    -0.010
1
          TABLE NR. 1.3.2.1                    DLR-F4 BODY ALONE

                     M =      0.600           RE = 3*10E6

                ALFA      CL        CD        CM        CN        CT

              -4.125    -0.011     0.009    -0.092    -0.012     0.008
              -3.109    -0.009     0.009    -0.077    -0.009     0.008
              -2.094    -0.006     0.009    -0.062    -0.007     0.008
              -1.079    -0.005     0.009    -0.046    -0.005     0.008
              -0.052    -0.003     0.008    -0.029    -0.003     0.008
               0.964    -0.002     0.008    -0.011    -0.002     0.008
               1.981     0.000     0.008     0.007     0.000     0.008
               2.997     0.001     0.008     0.025     0.001     0.008
               4.014     0.002     0.008     0.043     0.003     0.008
